date,Open,High,Low,Close,Volume,VWAP,Transactions
2024-09-05 04:00:00,221.625,225.48,221.52,222.38,36615398.0,223.0951,588073
2024-09-06 04:00:00,223.95,225.24,219.77,220.82,48423011.0,221.6372,663965
2024-09-09 04:00:00,220.82,221.27,216.71,220.91,67179965.0,219.3818,945464
2024-09-10 04:00:00,218.92,221.48,216.73,220.11,51591033.0,219.5811,684935
2024-09-11 04:00:00,221.455,223.09,217.89,222.66,44587072.0,221.236,609494
2024-09-12 04:00:00,222.5,223.55,219.82,222.77,37498225.0,222.3956,556917
2024-09-13 04:00:00,223.58,224.04,221.91,222.5,36766619.0,222.9215,541883
2024-09-16 04:00:00,216.54,217.22,213.92,216.32,59357427.0,215.9366,870760
2024-09-17 04:00:00,215.75,216.9,214.5,216.79,45519339.0,216.194,651444
2024-09-18 04:00:00,217.55,222.71,217.54,220.69,59894928.0,220.4476,833014
2024-09-19 04:00:00,224.99,229.82,224.63,228.87,66781315.0,228.3978,808546
2024-09-20 04:00:00,229.97,233.09,227.62,228.2,318679888.0,228.9222,971914
2024-09-23 04:00:00,227.34,229.45,225.81,226.47,54146023.0,227.0245,693312
2024-09-24 04:00:00,228.645,229.35,225.73,227.37,43556068.0,227.2501,519573
2024-09-25 04:00:00,224.93,227.29,224.02,226.37,42308715.0,225.8624,564630
2024-09-26 04:00:00,227.3,228.5,225.41,227.52,36636707.0,227.2807,433165
2024-09-27 04:00:00,228.46,229.52,227.3,227.79,34025967.0,228.1278,504108
2024-09-30 04:00:00,230.04,233.0,229.65,233.0,54793391.0,232.0056,710084
2024-10-01 04:00:00,229.52,229.65,223.74,226.21,63285048.0,225.9755,832120
2024-10-02 04:00:00,225.89,227.37,223.02,226.78,32880605.0,226.0517,504717
2024-10-03 04:00:00,225.14,226.805,223.32,225.67,34044158.0,225.0086,516347
2024-10-04 04:00:00,227.9,228.0,224.13,226.8,37345098.0,225.8887,558162
2024-10-07 04:00:00,224.5,225.69,221.33,221.69,39505354.0,223.2342,607240
2024-10-08 04:00:00,224.3,225.98,223.25,225.77,31855693.0,225.0548,495518
2024-10-09 04:00:00,225.23,229.75,224.83,229.54,33591091.0,228.3401,519279
2024-10-10 04:00:00,227.78,229.5,227.17,229.04,28183544.0,228.5592,446857
2024-10-11 04:00:00,229.3,229.41,227.34,227.55,31759188.0,228.0176,485460
2024-10-14 04:00:00,228.7,231.73,228.6,231.3,39882085.0,230.7772,580529
2024-10-15 04:00:00,233.61,237.49,232.37,233.85,64751367.0,234.795,827530
2024-10-16 04:00:00,231.6,232.12,229.84,231.78,34082240.0,231.1082,551097
2024-10-17 04:00:00,233.43,233.85,230.52,232.15,32993810.0,232.0786,487630
2024-10-18 04:00:00,236.18,236.18,234.01,235.0,46431472.0,235.2088,562502
2024-10-21 04:00:00,234.45,236.85,234.45,236.48,36254470.0,235.9588,538692
2024-10-22 04:00:00,233.885,236.22,232.6,235.86,38846578.0,234.9316,489180
2024-10-23 04:00:00,234.08,235.144,227.76,230.76,52286979.0,231.1276,722059
2024-10-24 04:00:00,229.98,230.82,228.41,230.57,31109503.0,230.1026,490815
2024-10-25 04:00:00,229.74,233.22,229.57,231.41,38802304.0,231.6641,551681
2024-10-28 04:00:00,233.32,234.73,232.55,233.4,36087134.0,233.5569,557146
2024-10-29 04:00:00,233.1,234.325,232.32,233.67,35417247.0,233.5948,484094
2024-10-30 04:00:00,232.61,233.47,229.55,230.1,47070907.0,230.8805,593652
2024-10-31 04:00:00,229.34,229.83,225.37,225.91,64370086.0,226.6453,767895
2024-11-01 04:00:00,220.965,225.35,220.27,222.91,65276741.0,222.8124,859117
2024-11-04 05:00:00,220.99,222.79,219.71,222.01,44944468.0,221.7645,647168
2024-11-05 05:00:00,221.795,223.95,221.14,223.45,28111338.0,223.1048,502059
2024-11-06 05:00:00,222.61,226.065,221.19,222.72,54561121.0,223.8013,796635
2024-11-07 05:00:00,224.625,227.875,224.57,227.48,42137691.0,226.791,623242
2024-11-08 05:00:00,227.17,228.66,226.405,226.96,38328824.0,227.2124,541125
2024-11-11 05:00:00,225.0,225.7,221.5,224.23,42005602.0,223.4599,555127
2024-11-12 05:00:00,224.55,225.59,223.355,224.23,40398299.0,224.3724,462612
2024-11-13 05:00:00,224.01,226.65,222.76,225.12,48566217.0,224.9226,467219
2024-11-14 05:00:00,225.02,228.87,225.0,228.22,44923941.0,227.4472,492068
2024-11-15 05:00:00,226.4,226.92,224.27,225.0,47923696.0,225.0925,451319
2024-11-18 05:00:00,225.25,229.74,225.17,228.02,44686020.0,228.083,437779
2024-11-19 05:00:00,226.98,230.16,226.66,228.28,36211774.0,228.6648,365242
2024-11-20 05:00:00,228.06,229.93,225.89,229.0,35169566.0,228.08,358455
2024-11-21 05:00:00,228.88,230.155,225.7103,228.52,42108327.0,228.4689,431685
2024-11-22 05:00:00,228.06,230.7199,228.06,229.87,38168252.0,229.6877,380624
2024-11-25 05:00:00,231.46,233.245,229.74,232.87,90152832.0,232.3502,510698
2024-11-26 05:00:00,233.33,235.57,233.33,235.06,45986189.0,234.7502,450015
2024-11-27 05:00:00,234.465,235.69,233.8101,234.93,33498439.0,234.7968,339860
2024-11-29 05:00:00,234.805,237.81,233.97,237.33,28481377.0,236.6232,268955
2024-12-02 05:00:00,237.27,240.79,237.16,239.59,48137103.0,239.4992,469685
2024-12-03 05:00:00,239.81,242.76,238.9,242.65,38861017.0,241.644,419384
2024-12-04 05:00:00,242.87,244.11,241.25,243.01,44383935.0,242.918,406663
2024-12-05 05:00:00,243.99,244.54,242.13,243.04,40033878.0,243.0077,401262
2024-12-06 05:00:00,242.905,244.63,242.08,242.84,36870619.0,243.187,366549
2024-12-09 05:00:00,241.83,247.24,241.75,246.75,44649232.0,246.0624,500769
2024-12-10 05:00:00,246.89,248.21,245.34,247.77,36914806.0,247.2778,423350
2024-12-11 05:00:00,247.96,250.8,246.2601,246.49,45205814.0,248.069,455625
2024-12-12 05:00:00,246.89,248.74,245.68,247.96,32777532.0,247.7433,353012
2024-12-13 05:00:00,247.815,249.2902,246.24,248.13,33155290.0,247.7583,349810
2024-12-16 05:00:00,247.99,251.38,247.65,251.04,51694753.0,250.4623,448224
2024-12-17 05:00:00,250.08,253.83,249.78,253.48,51356360.0,252.982,487662
2024-12-18 05:00:00,252.16,254.28,247.74,248.05,56774101.0,250.5314,564347
2024-12-19 05:00:00,247.5,252.0,247.0949,249.79,60882264.0,249.8394,532896
2024-12-20 05:00:00,248.04,255.0,245.69,254.49,147495267.0,253.1916,551019
2024-12-23 05:00:00,254.77,255.65,253.45,255.27,40858774.0,254.7699,422563
2024-12-24 05:00:00,255.49,258.21,255.29,258.2,23234705.0,257.4634,245932
2024-12-26 05:00:00,258.19,260.1,257.63,259.02,27262983.0,258.9315,362325
2024-12-27 05:00:00,257.83,258.7,253.06,255.59,42355321.0,255.2418,474899
2024-12-30 05:00:00,252.23,253.5,250.75,252.2,35557542.0,252.2669,421634
2024-12-31 05:00:00,252.44,253.28,249.43,250.42,39480718.0,250.6934,361255
